一一 逐一
一下子 一会儿
一丝不动 纹丝不动
一举成名 一鸣惊人
一乾二净 六根清净
一人得道 鸡犬升天
一再 几回再三
一古脑儿 一股脑儿
一叶知秋 尝鼎一脔
一名 一位
一呼百应 一呼百诺
一呼百诺 前呼后拥
一命呜呼 与世长辞
一唱一和 遥相呼应
一块儿 一起
一壁 一面
一声不响 一言不发
一孔之见 一知半解
一定 必然
一尘不染 一乾二净
一帆风顺 风平浪静
一往无前 勇往直前
一往直前 百折不回
一律 一概
一得之愚 一孔之见
一意孤行 独行其是
一成不变 原封不动
一扫而光 一网打尽
一扫而空 一网打尽
一拥而上 蜂拥而上
一掷千金 挥金如土
一无可取 一无是处
一无所取 一无是处
一无所得 一无所获
一日三餐 每日三餐
一日千里 进步神速
一时哄动 哄传一时
一晚上 一夜
一枕黄粱 南柯一梦
一样平常 一般 日常
一槌定音 一锤定音
一模一样 如出一辙
一泻千里 一落千丈
一清二楚 一览无余
一生 平生
一目十行 目下十行
一直 一向
一矢之地 弹丸之地
一石二鸟 一举两得
一穷二白 一贫如洗
一窍不通 一无所知
一箭双雕 一举两得
一箭双鵰 两全其美
一臂之力 落井下石
一般为 通常是
一般人 常人
一般是 通常为
一览无余 一目了然
一语道破 提纲挈领
一败涂地 狼奔豕突
一贫如洗 一无所有
一贯 一向
一起 一路
一路顺风 一帆风顺
一蹴而就 一挥而就
一蹶不振 萎靡不振
一辈子 一生
一针见血 提纲契领 言必有中
一马平川 一望无际
丁壮 壮年
丁宁 打发
丁忧 母丧
七上八下 忐忑不定
七嘴八舌 人多口杂
七手八脚 手忙脚乱
七拼八凑 东拼西凑
七通八达 四通八达
万万 切切
万众一心 举国同心
万古流芳 名垂青史
万古长存 万古长青
万无一失 满有把握
万死不辞 在所不辞
万籁俱寂 鸦雀无声
万试万灵 功效如神
三令五申 再三告诫
三回九曲 三回九转
三番五次 接二连三
三言两语 言简意赅 一言半语
上帝 天主
上彀 上网
上当 受骗
上方宝剑 尚方宝剑
上行下效 言传身教
上风 优势
下令 命令
下列 以下
下午 下战书 下昼
下流 下贱
